,user,text,favorite_count,retweet_count,created_at
0,SpaceX,"There are 114 payloads on this flight, including CubeSats, microsats, picosats, and orbital transfer vehicles carrying spacecraft to be deployed at a later time",2794,204,2022-12-30 21:36:07+00:00
1,SpaceX,"For SpaceX’s first launch of 2023, we’re targeting 9:56 a.m. ET on Tuesday, January 3 for Falcon 9’s sixth dedicated smallsat rideshare mission to orbit https://t.co/bJFjLCiTbK",5200,559,2022-12-30 21:35:40+00:00
2,SpaceX,"Most importantly, SpaceX successfully delivered our customers’ payloads to orbit, deployed additional Starlink satellites that add more capacity to our network, and flew critical cargo and astronauts to the @space_station and safely returned them back home Earth",3563,248,2022-12-30 18:14:08+00:00
3,SpaceX,"On average, SpaceX launched every 6 days from one of our three sites with 92% of missions completed with flight-proven first stage rocket boosters, and Falcon 9 now holds the world record for most launches of a single vehicle type in a single year",4241,374,2022-12-30 18:11:45+00:00
4,SpaceX,"Falcon 9 launched the @ImageSatIntl EROS C-3 mission to orbit overnight, completing SpaceX’s 61st and final launch of 2022 — nearly double our record of 31 launches set last year https://t.co/KTQydZvoYC",10299,1113,2022-12-30 18:10:26+00:00
5,SpaceX,Deployment of @ImageSatIntl EROS C-3 confirmed https://t.co/J7KORv5lha,8131,878,2022-12-30 07:53:50+00:00
6,SpaceX,Falcon 9’s first stage has landed on Landing Zone 4 https://t.co/kEAYITOoQX,9433,922,2022-12-30 07:47:26+00:00
7,SpaceX,Liftoff! https://t.co/CbGamn17gi,16903,1693,2022-12-30 07:38:49+00:00
8,SpaceX,Watch Falcon 9 launch the @ImageSatIntl EROS C-3 mission to orbit → https://t.co/bJFjLCiTbK https://t.co/QrFoqOAdYA,5786,723,2022-12-30 07:28:33+00:00
9,SpaceX,New T-0 of 11:38 p.m. PT for Falcon 9’s launch of the @ImageSatIntl EROS C-3 mission,2944,268,2022-12-30 06:17:59+00:00
10,SpaceX,Falcon 9 is vertical on pad 4E in California ahead of tonight’s targeted launch of the @ImageSatIntl EROS C-3 mission; weather forecast is currently 30% favorable for liftoff at 11:17 p.m. PT → https://t.co/bJFjLCiTbK https://t.co/oETuVkv4BK,14784,1158,2022-12-30 00:29:29+00:00
11,SpaceX,Falcon 9 launches 54 Starlink satellites to low-Earth orbit; completes SpaceX’s 60th mission of 2022! https://t.co/MIstToPIyL,45125,4868,2022-12-28 10:40:54+00:00
12,SpaceX,Deployment of 54 Starlink satellites confirmed!,10999,711,2022-12-28 10:39:31+00:00
13,SpaceX,We'll confirm satellite deployment after we regain ground station coverage in ~50 minutes,2107,109,2022-12-28 09:52:32+00:00
14,SpaceX,Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship https://t.co/hjvWIY9cZ3,39021,3641,2022-12-28 09:43:53+00:00
15,SpaceX,Liftoff! https://t.co/1U2u912GNq,36035,3414,2022-12-28 09:34:55+00:00
16,SpaceX,"Following stage separation, Falcon 9’s first stage will land on the A Shortfall of Gravitas droneship which is stationed down range in the Atlantic Ocean",2346,133,2022-12-28 09:32:33+00:00
17,SpaceX,"Falcon 9's first stage booster previously launched 10 missions, including 5 for Starlink",2098,139,2022-12-28 09:31:17+00:00
18,SpaceX,Watch Falcon 9 launch 54 Starlink satellites to orbit → https://t.co/wGq3KkoDyY https://t.co/sHdWRcsqZV,25927,2811,2022-12-28 09:29:49+00:00
19,SpaceX,Targeting 4:34 a.m. ET for Falcon 9's launch of Starlink from Florida; a live webcast of this mission will begin ~5 minutes before liftoff https://t.co/ROX7nnQdVU,2933,275,2022-12-28 09:09:39+00:00
20,SpaceX,"Targeting Wednesday, December 28 for Falcon 9’s launch of 54 Starlink satellites to low-Earth orbit from SLC-40 in Florida; teams are keeping an eye on weather conditions for booster recovery → https://t.co/bJFjLCiTbK",4617,445,2022-12-28 00:22:36+00:00
21,SpaceX,"Starlink now has more than 1,000,000 active subscribers – thank you to all customers and members of the Starlink team who contributed to this milestone ❤️💫🌎 https://t.co/5suNxFvtEH https://t.co/E1ojYarcEA",54780,6247,2022-12-19 16:14:59+00:00
22,SpaceX,Deployment of 54 Starlink satellites confirmed,17343,1212,2022-12-17 21:48:24+00:00
23,SpaceX,"Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing the 15th launch and landing of this booster! https://t.co/0AXCXTSPRb",12004,1168,2022-12-17 21:44:16+00:00
